video_id,video_name,url
1,How To End Poverty in 15 years' Hans Rosling - BBC News,https://www.youtube.com/watch?v=5JiYcV_mg6A
2,Colorado is Not a Rectangle Why is Colorado Not a Simple Shape With 4 Sides?,https://www.youtube.com/watch?v=JHrqyH6B9yE
3,"200 Countries, 200 Years, 4 Minutes",https://www.youtube.com/watch?v=jbkSRLYSojo
4,2018年世界各国下水军舰总吨位排名！看看中国海军排第几？,https://www.douyin.com/video/6743146016180047116
5,全球企业研发投入，看有多少家中国企业,https://v.douyin.com/JTPK6cq/
6,猪肉消费，你贡献了多少？,https://v.douyin.com/JTP5Bpc/
7,3 Reasons Why Nuclear Energy Is Awesome! 3/3,https://www.youtube.com/watch?v=pVbLlnmxIbY
8,350.org: Because the world needs to know,https://www.youtube.com/watch?v=s5kg1oOq9tY
9,7 Billion: How Did We Get So Big So Fast? | SKUNK BEAR,https://www.youtube.com/watch?v=VcSX4ytEfcE
10,80秒看中国股市28年跌宕起伏 这几次股灾你躲过了吗？,https://v.qq.com/x/page/l0818ao7dtb.html
11,99% v 1%: The Data Behind the Occupy Movement.,https://www.youtube.com/watch?v=DxvVZe2fnvI
12,A Brief History of America and Cuba,https://www.youtube.com/watch?v=chYBlArm9Ao
13,A Skeptical Look at Climate Science,https://www.youtube.com/watch?v=R7FAAfK78_M
14,A better way to tax the rich,https://www.youtube.com/watch?v=pTwPHuE_HrU
15,A network of science: 150 years of Nature papers,https://www.youtube.com/watch?v=GW4s58u8PZo
16,AdReaction 2014 - Marketing in the Multiscreen World,https://www.youtube.com/watch?v=1GyIoYOLEQ8
17,"All student debt in the US, visualized",https://www.youtube.com/watch?v=NXHwelwmQPA
18,All the Medalists: Men's 100-Meter Freestyle,https://www.youtube.com/watch?v=VWAkhFJm7Q0
19,All the Medalists: Men's Long Jump,https://www.youtube.com/watch?v=a3LzKoMKjjk
20,"American segregation, mapped at day and night",https://www.youtube.com/watch?v=qaPQN0aW47I
21,Americans Dodge $660 Billion in Taxes Each Year And It's Probably Getting Worse,https://www.youtube.com/watch?v=ZxXOyYSHcfE
22,Bar chart race: the most populous cities through time,https://www.youtube.com/watch?v=pMs5xapBewM
23,Baseball's Mike Trout is a god of WAR l FiveThirtyEight,https://www.youtube.com/watch?v=0mnm7rqH-L0
